PN,Familia,Produto,Média de Páginas Impressas,Preço Sugerido
3YM78AB,HP 667,Cartucho HP 667 Colorido,100,"74,9"
3YM79AB,HP 667,Cartucho HP 667 Preto,120,"69,9"
3YM80AB,HP 667,Cartucho HP 667XL Colorido,330,"172,9"
3YM81AB,HP 667,Cartucho HP 667XL Preto,480,"172,9"
F6V28AB,HP 664,HP 664 Tri-color,100,"74,9"
F6V29AB,HP 664,HP 664 Preto,120,"69,9"
F6V30AB,HP 664,HP 664XL Tri-color,330,"172,9"
F6V31AB,HP 664,HP 664XL Preto,480,"172,9"
CZ103AB,HP 662,HP 662 Preto,120,"69,9"
CZ104AB,HP 662,HP 662 Tricolor,100,"74,9"
CZ105AB,HP 662,HP 662XL Preto,360,"134,9"
CZ106AB,HP 662,HP 662XL Tricolor,330,"172,9"
1VV22AL,HP GT 53 / 52,Garrafa de tinta HP GT53 Preto,4000,"72,9"
9F3N4AL,HP GT 53 / 52,"HP Combo 4 Garrafas de Tinta HP GT Preta, Ciano, Magenta e Amarelo",4000 /8000 / 8000 / 8000,"264,9"
M0H54AL,HP GT 53 / 52,HP Garrafa de Tinta GT52 Ciano,8000,"72,9"
M0H55AL,HP GT 53 / 52,HP Garrafa de Tinta GT52 Magenta,8000,"72,9"
M0H56AL,HP GT 53 / 52,HP Garrafa de Tinta GT52 Amarelo,8000,"72,9"
L0S50AB,HP 954,HP 954 Ciano,700,"153,9"
L0S53AB,HP 954,HP 954 Magenta,700,"153,9"
L0S56AB,HP 954,HP 954 Amarelo,700,"153,9"
L0S59AB,HP 954,HP 954 Preto,1000,"214,9"
L0S62AB,HP 954,HP 954 XL Ciano,1600,"256,9"
L0S65AB,HP 954,HP 954 XL Magenta,1600,"256,9"
L0S68AB,HP 954,HP 954 XL Amarelo,1600,"256,9"
L0S71AB,HP 954,HP 954 XL Prelo,2000,"339,9"
3JA50AL,HP 964,964 Ciano,700,"165,9"
3JA51AL,HP 964,964 Magenta,700,"165,9"
3JA52AL,HP 964,964 Amarelo,700,"165,9"
3JA53AL,HP 964,964 Preto,1000,"219,9"
3JA54AL,HP 964,964XL Ciano,1600,"289,9"
3JA55AL,HP 964,964XL Magenta,1600,"289,9"
3JA56AL,HP 964,964XL Amarelo,1600,"289,9"
3JA57AL,HP 964,964XL Preto,2000,"370,9"
4S6X5PL,HP 938,HP 938 Ciano,800,"169,9"
4S6X6PL,HP 938,HP 938 Magenta,800,"169,9"
4S6X7PL,HP 938,HP 938 Amarelo,800,"169,9"
CH561HB,HP 122,HP 122 Cartucho de Tinta Preto,120,"76,9"
CH562HB,HP 122,HP 122 Cartucho de Tinta Color,100,"99,9"
CH563HB,HP 122,HP 122XL Cartucho de Tinta Preto,480,"239,9"
CH564HB,HP 122,HP 122XL Cartucho de Tinta Color,330,"239,9"
C2P05AL,HP 62XL,HP 62XL Preto,600,"402,9"
C2P07AL,HP 62XL,HP 62XL Color,415,"439,9"
CC636WB,HP 60b,HP 60B,200,"92,9"
CC640WB,HP 60,HP 60 PRETO,200,"154,9"
CC641WB,HP 60,HP 60 XL,600,"359,9"
CC643WB,HP 60,HP 60 TRICOLOR,165,"179,9"
CN045AB,HP 950 / 951,HP 950XL Cartucho Officejet Preto,2300,"319,9"
CN046AL,HP 950 / 951,HP 951XL Cartucho Officejet Ciano,1500,"234,9"
CN047AL,HP 950 / 951,HP 951XL Cartucho Officejet  Magenta,1500,"234,9"
CN048AL,HP 950 / 951,HP 951XL Cartucho Officejet Amarelo,1500,"234,9"
CN049AL,HP 950 / 951,HP 950  Cartucho Officejet Preto,1000,"179,9"
CN050AL,HP 950 / 951,HP 951 Cartucho Officejet Ciano,700,"139,9"
CN051AL,HP 950 / 951,HP 951 Cartucho Officejet Magenta,700,"139,9"
CN052AL,HP 950 / 951,HP 951 Cartucho Officejet  Amarelo,700,"139,9"
CN053AL,HP 932 / 933,HP 932 XL Preto,1000,"379,9"
CN053AL,HP 932 / 933,HP 932XL Preto,1000,"379,9"
CN054AL,HP 932 / 933,HP 933 XL Ciano,825,"189,9"
CN055AL,HP 932 / 933,HP 933 XL Magenta,825,"189,9"
CN056AL,HP 932 / 933,HP 933 XL Amarelo,825,"189,9"
CZ113AB,HP 670,HP 670 Preto,250,"71,9"
CZ114AB,HP 670,HP 670 Ciano,300,"71,9"
CZ115AB,HP 670,HP 670 Magenta,300,"71,9"
CZ116AB,HP 670,HP 670 Amarelo,300,"71,9"
CZ637AL,HP 46,HP 46 Preto,1500,"82,9"
CZ638AL,HP 46,HP 46 Tri-color,750,"82,9"
T6M04AL,HP 904,Cartucho HP 904XL Ciano,825,"169,9"
T6M08AL,HP 904,Cartucho HP 904XL Magenta,825,"169,9"
T6M12AL,HP 904,Cartucho HP 904XL Amarelo,825,"169,9"
T6M16AL,HP 904,Cartucho HP 904XL Preto,825,"289,9"
